Region,Rainfall,Temperature,Soil_Moisture,Soil_pH,Nitrogen,Phosphorus,Potassium,Irrigation,Crop_Area,Fertilizer,Pesticide,Sunlight,Humidity,Altitude,Wind_Speed,Groundwater,Crop_Diversity,Mechanization,Yield_Variance,Avg_Yield,Date
Bihar,1079.9864620082133,26,62.26094965500005,6.7,71.33164517112016,38.82603129998733,40.68731066993936,65.60613208070333,4987.286492761613,175,,7.8,68.15908237321726,119.72459738758879,7,15.598091319440957,0.68,0.566144163552865,0.2263491999766096,3.729507291927959,2023/03/01
Chhattisgarh,1284.3071040642446,26,55.88742989145015,6.4,80.39359231544572,,42.20582453647037,57.6838571808551,4036.003600349952,175,9,7.5,71.33121102009967,199.52751166680673,7,13.405666042377236,0.72,0.603691759234653,0.1906046270745411,3.845229922777567,2023-04-01
Chhattisgarh,1274.935743673597,26,56.58936687946471,6.4,78.9850704839372,,38.84453366712659,58.662824780129455,4250.620176450203,175,9,7.5,79.57608786064142,199.63240201303,7,13.933066345649143,0.72,0.580864771360626,0.20230512296066214,3.9651318699145484,2023-04-01
Telangana,850.1912017160723,29,39.01382744198884,7.1,64.27351560539692,31.921536892152865,36.42936906145246,64.06508883369656,3848.1407333317875,170,9,8.7,59.584533779553,297.9780802078507,10,21.305778904995915,0.63,0.7197517988150678,,3.5211367863707235,2023-04-01
Chhattisgarh,1292.8858633197588,26,58.57536859019558,6.4,82.22348486200403,,40.76542684259467,61.66891802342035,4146.5534369426205,175,9,7.5,78.63476247501106,224.26891353639093,7,12.950035559760954,0.72,0.5639149919658977,0.20773735292380596,3.825273629340553,2023-04-01
Madhya Pradesh,804.5145114477543,27,49.70878285921013,6.9,,32.08062310517543,38.33114373422761,62.209189219569545,4683.18026756152,170,9,8,60.55913955933533,294.5818843747832,10,17.472532822978593,0.62,0.6828184583652805,0.1931395867992382,3.5907505064350342,01-03-23
Jharkhand,1131.0750574001713,26,50.78476648337354,6.7,69.42405457435028,33.63644867656094,36.42187501129946,57.55929013736565,3340.457186757323,160,9,7.8,67.64023524439614,245.83855063104986,fast,18.151786379498525,0.66,0.5903404679565204,0.2294623877687475,3.4195922356957578,2023-04-01
Haryana,650.6578658826566,25,,7.5,75.81352962030974,36.512176601254595,38.779407688883296,88.98249458849517,3649.7475620174223,210 USD,eleven,8.2,55.073569000257905,247.3220354365103,11,15.010822347683826,0.7,0.8451748986921468,0.17936973052687608,4.555529960766413,2023/02/01
Kerala,1861.6093599386593,26,68.90049015764451,5.8,86.4849557939814,39.13758013000009,46.853428135565224,74.67617661877529,3121.785455445332,210,13,6.5,72.23948947166116,-528.1553259127194,5,10.743946924971006,0.8,0.6276703624179845,0.21324799297730349,3.8436198249463382,2023/04/01
Jharkhand,1130.4693144085793,26,51.22850091006162,6.7,66.5014322958172,34.368599690237616,35.55558651214345,56.87585258559818,3360.9760990546033,160,9,7.8,73.96460688382193,254.82338526733545,fast,17.52426309918981,0.66,0.6178947307298934,0.2405797674856173,3.5923072757870815,2023-04-01
Punjab,616.4817077239923,24,44.72837843365131,7.2,82.63694619967801,41.51656982771976,46.54197736543264,91.85727581244156,4262.60240984672,9999 INR,12,8h,59.76847497731872,249.71866382132808,10,15.025883262950334,0.75,0.8278326898397819,0.15388882935146758,4.575685078510215,2023-01-01
Uttar Pradesh,943.4848309439752,26C,48.87017147024774,6.8,64.4726962272299,37.484820657949115,42.85784137419549,73.43109142190036,5146.201141302868,one eighty,10,7.5,65.48456942130267,139.4627825023941,8,18.7229685299445,0.65,0.6665629540339609,0.23798085932855867,,02-01-2023
Madhya Pradesh,857.2665905436418,27,50.99935209883886,6.9,,34.28210721850526,38.061186868185416,62.273141434609435,4417.299094080826,170,9,8,64.08779201832083,299.84501917190903,10,19.632118057994116,0.62,0.580023248775204,0.18899304655389332,3.48681670245356,01-03-23
Uttarakhand,,22,55.663209878369734,6.4,64.6115204446973,32.986611706497506,34.077231273053236,52.04602718571212,2427.63850654936,price not available,8,7.2,71.59543281662432,1013.9518467956736,7,11.905590226302547,0.76,0.7039869163340567,0.16881735223627384,3.2122894631922256,2023-04-01
West Bengal,1301.7884499638344,25,59.058073139074246,6.5,75.86191423392022,36.280082488007466,43.78399364697117,77.70479837495529,4370.525927758274,190,11,7.5,,99.5943893033246,6,12.619031769790766,0.72,0.5779381830672271,0.18206099865533154,3.9831838932215264,03/01/2023
Maharashtra,685.2990459418193,120,41.96765351137309,6.5,62.82945198148282,29.453791351290178,35.081932750171475,50.933899924492835,4612.500387482824,160,9,8.5h,58.635101609136136,392.96896175805426,12,19.971887906979813,0.6,0.6214642873733828,0.25016334528890755,3.056943861002932,"March 1, 2023"
Uttar Pradesh,905.8428170801354,26C,48.188220003700806,6.8,70.97780425440384,33.97971726350621,38.18659366491616,77.13826892242726,4544.22215528486,one eighty,10,7.5,67.38305699417639,150.76288821677616,8,19.014359269782254,0.65,0.6664709671514726,0.22770496518004743,,02-01-2023
Jharkhand,1053.38849908253,26,50.76213269183507,6.7,64.54523445037027,29.532811778838003,39.80173120185821,57.5832413799104,3203.758635284191,160,9,7.8,73.74439229733191,260.9167895095278,fast,18.48735227645872,0.66,0.6038210242022429,0.25055451220650227,3.6999785784749752,2023-04-01
Punjab,629.3974097252204,24,44.596137953053066,7.2,74.39255748445498,38.943030154587696,48.32983184263129,85.71939672385626,4243.452403771681,9999 INR,12,8h,60.78845819072698,246.023522259741,10,13.072192894405829,0.75,0.7822158490630907,0.16514918429452893,4.3921396221316025,2023-01-01
Jharkhand,1104.483820158711,26,54.20108853244599,6.7,66.6022994619393,33.48821421318507,37.62835297366833,54.8449378414024,3338.770023496875,160,9,7.8,69.69460529819457,269.66821509911426,fast,18.069865735614755,0.66,0.6161962882092993,0.24387503196997418,3.7052910795312397,2023-04-01
Maharashtra,697.699874268759,120,38.870597234588644,6.5,62.997920046485504,30.579175158701766,35.70182690234171,57.64948929339017,4509.215913378295,160,9,8.5h,55.278117759513144,384.00098871694206,12,18.915856360044952,0.6,0.665099232515109,0.25871234168488016,3.3088213003714886,"March 1, 2023"
Karnataka,743.1311126235627,27,39.675421105444585,6.8,65.4207383633416,31.584172475112975,36.090504957180414,60.508664871710046,4166.88491209191,165,9,8.5,57.839748741168876,596.4018899100847,11,,0.65,0.6545672295462098,0.22837224385247765,3.4375291609081047,04/01/23
Uttarakhand,,22,53.57996284723883,6.4,57.77136187706193,33.84875366209896,34.689278842028344,53.80401978252886,2276.4145969516694,price not available,8,7.2,65.62071107317894,1056.5259771148228,7,12.708914647905655,0.76,0.7266925187984891,0.1702690596959724,3.2848235990626278,2023-04-01
Bihar,1072.2846531450202,26,53.479014179732694,6.7,72.03067750311948,38.24625361417009,40.300367192911324,67.30858215520236,5094.252267356837,175,,7.8,64.83517675852639,120.33836518714466,7,17.10294529804165,0.68,0.5412174601490424,0.22618587754395095,3.8099009401552895,2023/03/01
Andhra Pradesh,889.2815643173776,28,49.41426653851767,6.9,68.29003774732217,35.74957147019833,36.129056785009205,77.6471579295605,4128.4966663917,185,10,8.5,59.44414898062252,146.66359697102027,9,16.64966887723205,0.68,,0.1837755779943518,3.982680073991203,01-Apr-2023
Telangana,807.0630515283732,29,37.20899495525849,7.1,64.71647485006848,32.22294860589519,34.761246411982576,64.27488475420029,3990.2948438982858,170,9,8.7,52.38806002235358,328.29251699104213,10,20.05477809225872,0.63,0.7420332857290924,,3.370232499086375,2023-04-01
Punjab,612.9902024002259,24,47.00370949592098,7.2,81.85556189083627,37.86191455638525,44.366406450125545,95.31019565303275,3858.610352260189,9999 INR,12,8h,60.37387029967875,233.3941153524239,10,15.509340515787414,0.75,0.8769571954139994,0.15142300932703728,4.3738654143067865,2023-01-01
Assam,1867.676026556543,25,68.62522213739229,5.5,89.9443353897075,43.942029822947816,45.17576671278004,,3045.500431975772,200,11,6,86.96287460065481,82.32683088658133,5,12.255001345545354,0.78,0.5551994376780028,0.17190798717694525,3.5683599576111757,2023-04-01
West Bengal,1248.2912016256769,25,57.995781517530624,6.5,80.2492597960159,39.38922172559766,39.79718789846992,78.50164932720371,4593.798811235809,190,11,7.5,,99.66838158570003,6,15.145398657027458,0.72,0.6602593673162266,0.18508421097519856,4.055654212962095,03/01/2023
Jharkhand,1092.394986717808,26,49.88105411925383,6.7,68.92440293704378,32.64099151137248,37.99038955508696,54.51857739120117,3423.6039260701946,160,9,7.8,67.08832483096475,231.9790006706816,fast,20.04545552012233,0.66,0.5767324327358343,0.2450091891584696,3.424491578758154,2023-04-01
Tamil Nadu,755.3578651777045,29,40.990842532224285,7.0,62.92498365131763,32.856156363653206,37.084301083602156,95.96677951205393,958425.7336501104,200,12,9,59.52217359196175,206.13319138635242,9,11.359408627158231,0.7,0.7714958614712815,0.15605533221537027,4.021138499609824,2023-04-01
Punjab,654.6227235091781,24,46.39474851473493,7.2,82.88160819607367,40.655555397152,50.671491006902556,95.4961385682674,3759.695590383247,9999 INR,12,8h,62.452899018293294,244.45556625717268,10,15.447220687148803,0.75,0.9181630394991306,0.13882513454331077,4.545852345136883,2023-01-01
Bihar,1089.8292642921963,26,56.54965107633933,6.7,66.03334061971896,35.11434671048325,40.8446839940245,69.6679449272585,4970.738470497214,175,,7.8,67.34144693759569,130.4687373334832,7,16.352643629926945,0.68,0.6081876113166846,0.24934838353751657,3.9739086548525733,2023/03/01
Kerala,1868.843172906806,26,65.86560501960503,5.8,82.20365019040425,43.169452775872195,44.06429034702743,73.82933057347861,3189.9513505139353,210,13,6.5,78.13178883206683,-484.22791281802364,5,10.153294769896604,0.8,0.5787357552031906,0.2048974714981889,4.170206996715376,2023/04/01
Odisha,1225.880132447834,27,53.119020616854655,6.6,74.32391074754447,36.64991713765834,806.1728436709542,69.47456865057883,4363.302277123395,180,10,7.8,74.46639955116986,109.99507649781745,8,15.36456109824973,0.7,0.6393784877704508,0.2102693426195691,3.7115122070862663,2023-04-01
Jharkhand,1109.5969263160946,26,51.083093827839484,6.7,73.3777639705816,33.81994636261958,39.78766147941171,56.53292999408549,3399.8642494913747,160,9,7.8,74.26010095230053,250.5478866305519,fast,16.99945147728904,0.66,0.5982892354926694,0.24809685908842272,3.615683311636535,2023-04-01
Rajasthan,-46.12643887410896,30,27.254334839615606,8.0,47.63724109187512,24.879534297696978,29.075520257059292,39.91068818538508,3470.1452711686825,140,8,,39.31760068002363,298.38246376462456,15,24.63374925383645,0.5,0.5747025509352489,0.2764061889353171,2.6475276041966893,2023.03.01
Haryana,595.9903752114982,25,,7.5,72.67277580338767,36.97844022628117,41.29315040645088,86.42291593868207,3600.202214191337,210 USD,eleven,8.2,52.68791622396296,234.61365626976865,11,12.511767178969919,0.7,0.7705727965475936,0.18202471142596813,4.288984778186388,2023/02/01
Andhra Pradesh,872.9299706570156,28,48.656366471401526,6.9,67.32682338005449,35.41904293238244,38.0050852091314,79.68903390481003,3653.0317035496055,185,10,8.5,66.53273147691272,145.6496458162081,9,18.285125102415176,0.68,,0.19180458378050913,3.7654037547550026,01-Apr-2023
Bihar,1263.0884087902714,26,54.65966371500614,6.7,78.50258043703076,35.934488603416625,36.96216300026843,71.61144081924812,5032.207112287068,175,,7.8,73.22493288740138,118.59402417069617,7,15.696032466162714,0.68,0.6295308008629342,0.22587809600225142,3.187914323330281,2023/03/01
Himachal Pradesh,1189.2722884021175,,48.59915660419789,6.5,56.59073648284503,30.94680381347602,29.24043127245292,48.49982868725203,1927.0421738112839,140,7,7,66.07556413309199,1253.1631675119795,6,10.10778818114997,0.75,0.6671463909134668,0.1500018538105484,3.169907958830981,2023-04-01
Kerala,1834.041108962958,26,66.52141818689941,5.8,78.53753284342018,43.554476488974096,47.96788634982892,73.58802163309943,3021.969174898258,210,13,6.5,81.0541046640276,-536.6086274826697,5,10.52431484673897,0.8,0.6306532259494475,0.1897782139632498,3.458856118377815,2023/04/01
West Bengal,1517.920962330496,25,60.5944544163116,6.5,74.42242335123159,35.456177787025545,38.59843231758921,81.57018726213563,4255.463471031954,190,11,7.5,,100.55755799906606,6,13.569649326639786,0.72,0.6759234636435816,0.182877477183147,3.8027234943182617,03/01/2023
Rajasthan,-51.569221729068744,30,30.53377203006971,8.0,48.478659567352274,26.04727710445752,31.043588375023223,39.218112689298785,3799.3198234554366,140,8,,40.90854852203421,302.2081602200017,15,26.217722325035865,0.5,0.585286254655607,0.314767590597837,2.3358628172797147,2023.03.01
Jharkhand,1081.5276241473518,26,52.02971701151801,6.7,73.22070677926928,30.948938516883644,34.805734129457726,54.81079397819448,3360.6274105603584,160,9,7.8,67.85423431649028,256.8772953121499,fast,17.485756460715454,0.66,0.6107367089036819,0.24979876214175778,3.566095196234174,2023-04-01
Kerala,1808.2851939996262,26,59.30549378985059,5.8,86.05732944249252,40.543119769550216,45.62785312281352,73.03332778261307,2899.701833104104,210,13,6.5,83.36220384049767,-471.12466962269906,5,10.749111651079858,0.8,0.5793234137522679,0.21926854635587079,3.698231942920138,2023/04/01
West Bengal,1316.0480077935608,25,64.10323868010126,6.5,79.1653807331617,39.26059192618041,44.226089075631684,78.58910677165696,4156.16234750274,190,11,7.5,,95.06832475559352,6,14.809658108965333,0.72,0.5905336467419504,0.1765045300598855,3.67845224107098,03/01/2023
Bihar,1198.8735022020928,26,53.47973386698486,6.7,78.50131286387827,35.428055427322064,43.396584409470194,72.37698890550932,5368.661649448767,175,,7.8,67.68394901693945,113.52997208226888,7,15.933804037441512,0.68,0.6513090430656518,0.22639142128691137,3.9821557864141854,2023/03/01
Gujarat,650.3498945289836,29,35.35914846440519,14.5,56.107551322209886,27.247192404862233,33.05720611435903,59.33662233190962,3687.0832827680547,150,8,9,50.405991923944384,186.76442348306156,13,20.92614755033028,0.58,0.7112419039845516,0.2556547285944397,3.3310450988039952,2023-03-01
Rajasthan,-50.11457899103453,30,29.711232376633475,8.0,50.08138932825586,23.932381739985367,29.10243641789897,40.44305329742598,3577.898486856953,140,8,,38.00736285688793,292.11849383484457,15,26.944621201754448,0.5,0.5775907838848446,0.30817681121638335,2.3173158523996946,2023.03.01
Assam,1921.3759534735825,25,72.23915128024638,5.5,93.57164192492593,45.84226039886751,50.23221837578367,,3077.6519003751278,200,11,6,86.1374077014784,84.13350753304842,5,11.842776378410413,0.78,0.551479450936709,0.1988365004721413,3.8299146550306387,2023-04-01
Tamil Nadu,785.0020379350092,29,39.93538363989592,7.0,64.68930393474054,31.02764635655018,35.2822639931584,84.91999899446569,994708.8165092864,200,12,9,62.0566819692617,188.4474080016979,9,12.249851738931655,0.7,0.7711812916010912,0.15617448283071325,4.377456122069857,2023-04-01
Uttar Pradesh,899.2365628869322,26C,50.25450540088922,6.8,67.99884325195572,33.46617058185957,44.201505914874325,81.5385718182806,5047.252354287313,one eighty,10,7.5,66.67353813862205,134.59510631153412,8,17.28533393215846,0.65,0.7814727678470139,0.22256333707957204,,02-01-2023
Chhattisgarh,1208.4327322088168,26,55.72509939894899,6.4,75.3711834583024,,45.2756504206914,55.24575782465487,4300.34361933144,175,9,7.5,76.48859786600636,211.0880786828352,7,14.46855096557605,0.72,0.5721994705995447,0.20024822288991082,4.069511541754784,2023-04-01
Jharkhand,1100.6034702410407,26,56.35520601034011,6.7,72.2178842521675,33.842586503360046,38.33512966718881,56.40932452241842,3637.699308891777,160,9,7.8,66.83926514792003,267.5384181606022,fast,16.70070207409499,0.66,0.5766353061478968,0.2433010560924881,3.3286499302475923,2023-04-01
Himachal Pradesh,1193.581104104642,,50.60290932237993,6.5,58.45959345845936,29.19547711637305,31.665146066072005,47.42269068645145,2037.8391663420678,140,7,7,70.43276338213461,1248.557343385385,6,10.538768809872964,0.75,0.6788974159158235,0.13671933435202457,3.1260029997571457,2023-04-01
Karnataka,646.4123280081291,27,39.74779401165354,6.8,65.84058346303551,31.78568721984261,31.359657087098,62.88488552378258,4172.769313019206,165,9,8.5,64.08525031680402,607.8491466645152,11,,0.65,0.7160528086232546,0.21649088492191998,3.486914015256765,04/01/23
Jharkhand,1160.2738349402368,26,53.7493913744073,6.7,68.39585054595531,34.37119860768884,37.35928126436171,53.50951615578034,3474.744263094693,160,9,7.8,66.39045661301748,219.99081845429566,fast,17.639706283298935,0.66,0.6035777280164105,0.24236611064430866,3.6628299283306927,2023-04-01
Kerala,1811.8509401943431,26,62.89847533832375,5.8,91.21496922638416,39.95361504221566,45.33578024568842,68.17255725296643,2966.689204635239,210,13,6.5,81.25741680138859,-459.15289650455793,5,9.851261282826396,0.8,0.5466985539714232,0.19472413501236754,4.080684379933512,2023/04/01
Chhattisgarh,1294.4334518951061,26,61.783440986154446,6.4,75.26341846145397,,38.40635480702732,60.17989343632605,4205.502567863042,175,9,7.5,70.36304272848483,194.2973299695593,7,14.069261049082659,0.72,0.5783753211463738,0.20630171900136537,3.8940612825079213,2023-04-01
Kerala,1864.1099572299838,26,64.88180282576538,5.8,79.97957890796195,43.59352383503854,43.46454986817655,70.76174435882666,2997.6647383434056,210,13,6.5,80.61428147724202,-475.0505310346338,5,9.381160861522956,0.8,0.6222024674393812,0.19025837221458372,3.7044185992212726,2023/04/01
Himachal Pradesh,1107.2962617502128,,51.94410724802834,6.5,57.08424303279108,32.009132591602395,30.590757884839167,51.3928094018797,1963.2060406730386,140,7,7,72.56511806812512,1122.7214426547514,6,9.757297341817727,0.75,0.6701929081104049,0.15229997605436632,3.152652433735664,2023-04-01
Himachal Pradesh,1215.8280585052494,,49.93994221469777,6.5,55.05282308960763,30.257234652607114,30.569662157817227,52.36407305799322,2092.9222140290785,140,7,7,63.4463230148883,1339.5155087694484,6,9.66377091513535,0.75,0.6130488681274547,0.1491076725178854,3.062424847659434,2023-04-01
Uttarakhand,,22,53.45654895238743,6.4,58.17327838498655,32.53139281953793,33.928290483800836,56.88675603171224,2273.2175284987898,price not available,8,7.2,65.56080649848718,932.8946952610069,7,11.66094324559772,0.76,0.6814406995968576,0.16571750582810948,3.3803671609461987,2023-04-01
Madhya Pradesh,858.2015334228855,27,42.33810573268281,6.9,,34.032790779018306,37.15506734045199,64.93904004279867,4669.3321175167475,170,9,8,65.75135067703162,322.5406253027843,10,17.862375874995244,0.62,0.669332570830257,0.1934957161848559,3.494296179074919,01-03-23
Uttarakhand,,22,58.19631812246495,6.4,63.937782827018914,28.259029601819435,35.45645328695612,54.25871049122184,2193.9974857215707,price not available,8,7.2,65.92173779396032,1019.4878793444078,7,13.902770740038319,0.76,0.7474222716211314,0.15508105985967627,3.4461015231873033,2023-04-01
Maharashtra,704.6300111991012,120,36.797001352041676,6.5,58.49989321346418,32.18736987404657,33.5801892713531,52.672851033290534,4526.345961003646,160,9,8.5h,53.854114045861174,407.1570390825664,12,21.226633694582183,0.6,0.6218944719247317,0.2537026187841951,3.0876597416928617,"March 1, 2023"
Uttar Pradesh,901.8231894453734,26C,49.423020525468196,6.8,67.48492104902698,32.83925807370866,41.42371468544289,79.41496257557476,4838.291134111969,one eighty,10,7.5,66.07557101593032,146.8686442212893,8,19.526273946548788,0.65,0.6250148925796374,0.20877296508659465,,02-01-2023
Madhya Pradesh,850.548926505854,27,48.79245306021385,6.9,,34.646570862229815,41.256861530114506,62.577693394599955,4934.165087314879,170,9,8,63.99171092595596,313.6121020178491,10,18.787640752378568,0.62,0.7281100125220239,0.18558105150201684,3.4676180720507728,01-03-23
Andhra Pradesh,894.8747546126575,28,47.121285009412006,6.9,64.21675217042309,36.73985276518284,39.58103093642976,75.73353173542647,3854.6164774382355,185,10,8.5,62.14450916599645,174.41139896014695,9,17.718262038646518,0.68,,0.19116323171430336,3.6400578106483428,01-Apr-2023
Assam,2103.5225819949223,25,69.16643529942819,5.5,88.11112301950826,46.571908244720326,47.898331474951576,,3150.304581770585,200,11,6,85.38640853705094,85.50758136729802,5,12.47060341875941,0.78,0.5310731564530501,0.19537812435767773,3.7007643770542433,2023-04-01
Madhya Pradesh,804.6943870861803,27,47.622520542365464,6.9,,33.65908219516557,33.807922331732485,70.51574221493237,4408.7825125102945,170,9,8,65.63523287427732,327.3376989672447,10,17.722224129046534,0.62,0.6050205834790724,0.2093747020801958,3.4841730504808535,01-03-23
Punjab,615.2817412546302,24,42.652846004019295,7.2,80.54694779582582,37.33561269330967,44.402846731728694,92.80031374178937,4043.3501697642714,9999 INR,12,8h,61.42513270614203,211.6355066062735,10,15.3757604181881,0.75,0.8829907053368414,0.15607027572569965,4.609422583412211,2023-01-01
Tamil Nadu,795.9242497214886,29,38.938046267120924,7.0,69.43216685095865,37.271213047662016,35.85814779066601,91.346464923772,971924.4665953821,200,12,9,57.65421577445048,189.6859139486936,9,12.13287356696351,0.7,0.8139395808574453,0.16351529360652647,3.8944983400792745,2023-04-01
Haryana,581.0880269515162,25,,7.5,71.53011368651715,37.33568550814456,42.59322427225756,87.41391867454826,3886.4062863871814,210 USD,eleven,8.2,62.276520599531196,247.9350791394299,11,13.96850392564752,0.7,0.7987630361943281,0.1918818010919831,4.3037718211885885,2023/02/01
Punjab,638.8715379855118,24,42.25707384586647,7.2,77.73763356063172,40.57651135755181,44.58551111284947,88.11890112619152,3980.378300354757,9999 INR,12,8h,56.664920755026124,230.62452307071706,10,13.470233317814769,0.75,0.8219058838131488,0.15584475174761128,4.566365164396441,2023-01-01
Madhya Pradesh,830.685005811412,27,44.70764922275303,6.9,,30.423813345506566,35.93307862479613,67.41760358511704,4942.935430483209,170,9,8,61.400276971352106,286.0132352305371,10,18.30188560884953,0.62,0.6703504179464561,0.19539740821803242,3.2983152273080036,01-03-23
Maharashtra,723.2528508058226,120,34.92913536090916,6.5,65.57352285594386,32.24789396051597,34.336634236539915,54.24484445395616,4103.233226425404,160,9,8.5h,59.87268340663826,350.6415343404657,12,19.266458162279328,0.6,0.7017174205845279,0.2566450005205564,3.1252935171134824,"March 1, 2023"
Himachal Pradesh,1197.5634247062883,,48.408925459902896,6.5,64.10447394278596,27.987748076734317,33.449848780151754,51.7812003351909,2047.9498370866265,140,7,7,69.17925104854197,1235.0439760358863,6,9.955614986845376,0.75,0.6408945396313339,0.1479208592586022,3.1011378537301857,2023-04-01
Haryana,611.8514475437703,25,,7.5,75.92441559472223,37.29450177835894,41.68754388963044,83.510920870129,3671.721719272174,210 USD,eleven,8.2,55.76599041528582,236.7689936575191,11,14.394136690981618,0.7,0.8239659021048845,0.1712665754755053,4.222373606080965,2023/02/01
Odisha,1255.0242455501173,27,53.16764989017212,6.6,73.1427806906245,37.65635503809807,830.414255678943,72.79436386590535,4352.744902274093,180,10,7.8,71.70740039022995,115.85484577759249,8,16.478779884833322,0.7,0.6102163383836127,0.21117074692124604,4.070657992200089,2023-04-01
